method,scenario,lag,n_sims,log_HR_true,coverage,mc_se,med_est,true_pct_lo,true_pct_hi,true_width,est_pct_lo,est_pct_hi,est_width
Knot-search,unimodal,1,300,0.007581015625,0.7833333333333333,0.02378530514289738,0.006884222796962841,0.005589129837989575,0.008078500443857354,0.002489370605867779,0.005520007776005273,0.008152097894532697,0.0026320901185274232
Knot-search,unimodal,8,300,0.009080000000000003,0.9533333333333334,0.012177696674506891,0.008909790181951809,0.007192831499824425,0.010146681183729338,0.0029538496839049133,0.00732955657507966,0.010244937982416413,0.002915381407336753
Knot-search,unimodal,15,300,3.8375289351851846e-4,0.9466666666666667,0.012972906239401267,4.864281110112282e-4,-0.0031921964257217886,0.0031491555448612575,0.0063413519705830465,-0.0030209703962834978,0.003177863636054348,0.006198834032337846
Knot-search,bimodal_pos,1,300,0.018195921411126106,0.8833333333333333,0.018534252575124754,0.01875300987529354,0.01714502767371874,0.02073777320687375,0.0035927455331550076,0.017058977474377204,0.020621899029865408,0.0035629215554882046
Knot-search,bimodal_pos,8,300,0.002130119708121899,0.7933333333333333,0.023377735530168836,0.0013475561516465356,-6.239825085239284e-4,0.00323112753433842,0.0038551100428623484,-6.09500503507227e-4,0.002918065461530612,0.003527565965037839
Knot-search,bimodal_pos,15,300,0.0019479152610494908,0.91,0.016522711641858305,0.0012095750360170319,-0.0024670563416692316,0.004290456944971632,0.0067575132866408635,-0.002758605363612405,0.004175003388395645,0.0069336087520080495
Knot-search,bimodal_neg,1,300,0.018195911692643493,0.4166666666666667,0.02846375212766555,0.018817773555361454,0.017949106314843567,0.0195883707865519,0.0016392644717083335,0.01827554399214124,0.019876063586419287,0.0016005195942780507
Knot-search,bimodal_neg,8,300,-0.0027419504883961585,0,0,-0.0047198891247947055,-0.005332100962512837,-0.0036855283598554735,0.0016465726026573635,-0.005428878893519235,-0.003772631663579739,0.0016562472299394958
Knot-search,bimodal_neg,15,300,-0.0097395735638511,0.8933333333333333,0.01782216680512304,-0.01023356220133027,-0.01192668232056891,-0.0074068539695905065,0.004519828350978403,-0.011847901747243332,-0.00820506957394424,0.003642832173299093
Knot-search,decayed,1,300,0.024561922592339455,0.9366666666666666,0.014062031885212777,0.024726615444209843,0.023438495327248045,0.02636873999627644,0.0029302446690283937,0.023307543370066963,0.026580520033726542,0.0032729766636595786
Knot-search,decayed,8,300,0.006056895539839662,0.9366666666666666,0.014062031885212777,0.005943583075342365,0.004739744207770524,0.007727148635788906,0.002987404428018383,0.0045685619140092126,0.007925810554383989,0.003357248640374776
Knot-search,decayed,15,300,0.0014936120510359184,0.95,0.012583057392117921,0.0016433115202065984,-0.0013425686271775496,0.00551674243832079,0.006859311065498339,-0.0017452296410937279,0.0053695205499854496,0.007114750191079178
Knot-search,constant_low,1,300,0,0.9633333333333334,0.010850840554571826,3.388909237531546e-5,-4.944814814351664e-4,6.761047295590159e-4,0.0011705862109941823,-6.316806125755807e-4,7.634499210193259e-4,0.0013951305335949066
Knot-search,constant_low,8,300,0,0.96,0.011313708498984765,-1.5971723195806354e-6,-6.720675333457231e-4,7.79714875532624e-4,0.001451782408878347,-7.169245265901803e-4,7.853635052977502e-4,0.0015022880318879305
Knot-search,constant_low,15,300,0,0.95,0.012583057392117921,-3.930734427080476e-5,-0.0018004701001130073,0.0015181746983000143,0.0033186447984130214,-0.001623402721406592,0.0016187679243155084,0.0032421706457221003
Knot-search,constant_high,1,300,0.010000000000000002,0.9566666666666667,0.011755219486899646,0.01001407633888866,0.008195605713018504,0.012048694951363476,0.0038530892383449727,0.008105308020442743,0.012011575742338193,0.00390626772189545
Knot-search,constant_high,8,300,0.010000000000000002,0.9766666666666667,0.008715673408461501,0.010095514416335511,0.00829948243914249,0.011580332189568679,0.003280849750426189,0.007958806463002349,0.012224420631419278,0.004265614168416928
Knot-search,constant_high,15,300,0.010000000000000002,0.97,0.00984885780179611,0.010035421111462703,0.005548607443237827,0.013802486794882943,0.008253879351645116,0.00537053354356565,0.01451823300081666,0.00914769945725101
Term-search,unimodal,1,300,0.007581015625,0.9533333333333334,0.012177696674506891,0.0064435546985733725,0.0027732597873016468,0.013843894295800898,0.011070634508499252,0.0013256945879809175,0.014093281264743436,0.012767586676762518
Term-search,unimodal,8,300,0.009080000000000003,0.9533333333333334,0.012177696674506891,0.009113942342493159,0.00319120505377946,0.015663463396592147,0.012472258342812688,0.0026258260073553615,0.015854831492848255,0.013229005485492893
Term-search,unimodal,15,300,3.8375289351851846e-4,0.95,0.012583057392117921,3.8957952337279197e-4,-0.00547048934660118,0.005639926210645788,0.01111041555724697,-0.005085816811256428,0.005583932003270734,0.010669748814527162
Term-search,bimodal_pos,1,300,0.018195921411126106,0.9533333333333334,0.012177696674506891,0.017347004322041643,0.012718378534012371,0.02745357066240294,0.01473519212839057,0.010359748090768764,0.027094105975110104,0.016734357884341338
Term-search,bimodal_pos,8,300,0.002130119708121899,0.9533333333333334,0.012177696674506891,0.0019937099269857483,-0.00533336564109735,0.009911015172414356,0.015244380813511706,-0.006400840352695576,0.010215443008841486,0.016616283361537063
Term-search,bimodal_pos,15,300,0.0019479152610494908,0.9733333333333334,0.009301533127313926,0.0017060515640636134,-0.003985890836370523,0.007683315173320883,0.011669206009691405,-0.004676853198990433,0.008693242906439535,0.013370096105429968
Term-search,bimodal_neg,1,300,0.018195911692643493,0.9633333333333334,0.010850840554571826,0.018226923681847175,0.014475372711261104,0.02191752132927629,0.007442148618015185,0.014848363169215185,0.02206645906296263,0.0072180958937474475
Term-search,bimodal_neg,8,300,-0.0027419504883961585,0.9766666666666667,0.008715673408461501,-0.002763106591508582,-0.006081953755462901,7.149078000283647e-4,0.006796861555491265,-0.006428138406491324,7.828482822113933e-4,0.007210986688702717
Term-search,bimodal_neg,15,300,-0.0097395735638511,0.96,0.011313708498984765,-0.009606016765377848,-0.012291598611938608,-0.00724209766039923,0.005049500951539378,-0.012699961883425018,-0.006954347547996428,0.00574561433542859
Term-search,decayed,1,300,0.024561922592339455,0.95,0.012583057392117921,0.025625179840871988,0.0175192305706443,0.029310700067190595,0.011791469496546296,0.017428195435676162,0.032295234407625745,0.014867038971949582
Term-search,decayed,8,300,0.006056895539839662,0.9766666666666667,0.008715673408461501,0.006042961773364467,-4.846617521263194e-4,0.012117933666595106,0.012602595418721425,-0.0016129727131578204,0.013837022001549282,0.015449994714707104
Term-search,decayed,15,300,0.0014936120510359184,0.9633333333333334,0.010850840554571826,0.0015971333894286425,-0.004130034050497439,0.007777336905590576,0.011907370956088015,-0.004351850753693384,0.008011534408018408,0.01236338516171179
Term-search,constant_low,1,300,0,0.9933333333333333,0.004698305447081342,0,-0.0033000692139456738,0.0024549755037842117,0.005755044717729885,-0.0034822608657793463,0.0031872147011682813,0.006669475566947627
Term-search,constant_low,8,300,0,0.9766666666666667,0.008715673408461501,-1.9472719478707066e-5,-0.002910623081335091,0.002981003583171378,0.0058916266645064694,-0.0034949822797053325,0.003450683346503707,0.00694566562620904
Term-search,constant_low,15,300,0,0.96,0.011313708498984765,0,-0.002649984460810311,0.0022826385254278965,0.004932622986238208,-0.0028518669361631147,0.0027284194256188945,0.005580286361782009
Term-search,constant_high,1,300,0.010000000000000002,0.9866666666666667,0.0066220730781117,0.0098769431959678,0.0010901763379719538,0.01939026034650202,0.018300084008530067,8.910881540245916e-7,0.019437385059042526,0.0194364939708885
Term-search,constant_high,8,300,0.010000000000000002,0.97,0.00984885780179611,0.010055018921269077,0.0027349009729618428,0.01765726170372743,0.014922360730765588,3.4991161568939287e-4,0.019762461671717677,0.019412550056028283
Term-search,constant_high,15,300,0.010000000000000002,0.9466666666666667,0.012972906239401267,0.009890600864944914,0.002828774996921678,0.017694730187589672,0.014865955190667994,0.002311457844069928,0.017990928860030495,0.015679471015960567
